Date,Ball1,Ball2,Ball3,Ball4,Ball5,Star1,Star2
1490914800,17,24,26,28,45,4,12
1490655600,9,13,31,33,46,6,10
1490313600,2,17,21,27,34,5,9
1490054400,1,20,23,44,47,4,11
1489708800,6,10,19,29,36,3,9
1489449600,3,5,21,36,44,3,6
1489104000,31,36,38,47,49,8,11
1488844800,6,37,41,48,50,4,5
1488499200,2,11,29,30,47,1,12
1488240000,10,20,31,35,42,2,12
1487894400,2,4,13,22,43,8,9
1487635200,13,19,41,45,49,3,4
1487289600,19,25,33,36,48,2,9
1487030400,2,10,24,40,44,3,10
1486684800,7,21,26,35,43,2,9
1486425600,4,10,31,38,44,8,10
1486080000,3,4,15,46,50,5,9
1485820800,3,4,17,23,44,6,9
1485475200,17,20,28,45,48,5,9
1485216000,1,5,7,17,23,3,8
1484870400,10,17,27,31,49,3,5
1484611200,4,16,25,43,47,2,10
1484265600,3,7,16,26,50,4,7
1484006400,2,11,29,35,44,4,9
1483660800,10,14,18,21,49,9,11
1483401600,19,23,27,34,49,1,11
1483056000,8,10,22,29,47,1,3
1482796800,3,22,25,32,39,7,12
1482451200,4,16,20,39,46,2,5
1482192000,13,15,17,21,27,2,3
1481846400,6,10,30,41,45,4,11
1481587200,14,28,29,48,50,2,8
1481241600,6,12,28,37,40,1,5
1480982400,1,7,11,27,45,4,9
1480636800,6,11,23,31,32,2,12
1480377600,21,26,27,28,38,9,11
1480032000,5,11,17,23,28,10,11
1479772800,5,10,33,34,47,2,10
1479427200,3,12,27,32,47,6,8
1479168000,7,15,36,42,48,3,7
1478822400,3,22,23,38,49,2,9
1478563200,5,9,47,49,50,8,9
1478217600,7,11,12,44,48,3,7
1477958400,6,10,20,29,37,1,9
1477609200,10,16,19,23,43,2,8
1477350000,3,15,20,21,28,1,5
1477004400,9,20,23,44,48,8,10
1476745200,2,17,21,25,27,6,9
1476399600,7,13,19,31,34,1,11
1476140400,5,12,20,24,37,4,11
1475794800,2,12,20,27,30,9,11
1475535600,4,7,14,34,38,4,11
1475190000,17,35,37,43,44,2,10
1474930800,6,9,13,39,41,2,12
1474585200,14,16,39,42,49,3,9
1474326000,1,4,10,41,45,6,9
1473980400,5,8,14,22,32,2,11
1473721200,4,7,16,35,44,1,3
1473375600,4,11,15,17,28,1,3
1473116400,12,24,30,34,45,7,10
1472770800,8,16,32,40,50,2,11
1472511600,13,16,29,35,42,6,8
1472166000,1,9,28,30,48,7,8
1471906800,2,23,31,37,45,4,8
1471561200,5,6,22,25,34,5,7
1471302000,2,26,34,37,46,4,8
1470956400,2,15,28,36,50,2,11
1470697200,12,19,43,44,45,5,10
1470351600,16,19,24,35,37,2,7
1470092400,2,8,27,38,46,2,6
1469746800,1,21,26,40,50,2,4
1469487600,3,10,13,45,49,2,11
1469142000,7,24,26,37,45,5,9
1468882800,19,24,28,36,37,3,6
1468537200,2,11,13,14,21,1,8
1468278000,3,7,26,33,41,2,10
1467932400,8,12,18,33,44,4,8
1467673200,1,10,29,38,48,3,4
1467327600,2,11,13,40,50,1,10
1467068400,26,32,37,43,49,4,5
1466722800,11,19,27,28,39,3,10
1466463600,5,17,32,35,49,1,5
1466118000,1,7,18,27,43,4,8
1465858800,13,34,39,42,50,9,11
1465513200,14,21,35,42,43,7,9
1465254000,19,26,35,45,49,2,5
1464908400,7,23,31,33,39,6,10
1464649200,6,12,26,30,48,6,7
1464303600,13,25,27,43,46,4,8
1464044400,16,17,23,34,37,6,9
1463698800,9,14,30,41,45,4,9
1463439600,15,27,32,36,39,3,10
1463094000,7,15,28,31,42,10,11
1462834800,2,26,27,40,49,5,10
1462489200,32,34,40,45,48,1,10
1462230000,8,23,24,34,38,3,7
1461884400,4,5,25,28,43,6,11
1461625200,10,17,31,32,42,2,5
1461279600,17,26,32,34,43,2,10
1461020400,11,14,15,27,44,2,7
1460674800,13,14,32,37,48,1,7
1460415600,1,5,9,22,38,2,10
1460070000,6,8,26,43,49,6,10
1459810800,3,5,9,19,40,2,5
1459465200,2,16,23,25,49,6,9
1459206000,1,4,19,25,36,3,11
1458864000,12,19,36,42,43,5,8
1458604800,12,15,26,42,49,5,8
1458259200,14,19,21,24,49,5,11
1458000000,5,7,10,34,44,2,10
1457654400,1,21,26,40,43,6,9
1457395200,1,8,9,14,23,1,7
1457049600,9,14,16,23,40,1,5
1456790400,4,7,13,28,37,10,11
1456444800,5,13,15,33,50,9,11
1456185600,23,25,32,37,42,1,11
